"Ref","Title","Organization->Name","Caller->Full name","Start date","Status","Agent->Full name","Assignment date","Close date","Cumulated pending","Description","End date","Hot Flag","Hot reason","Impact","Last pending date","Last update","Operational status","Origin","Pending reason","Priority","Private log","Public log","Resolution code","Resolution date","Resolution delay","Solution","Ticket sub-class","Urgency","User comment","User satisfaction","id (Primary Key)","Agent","Agent->Last Name","Agent->Obsolete","Agent->First Name","Agent->Organization","Agent->Organization name","Agent->Email","Agent->Employee number","Caller","Caller->Last Name","Caller->Obsolete","Caller->First Name","Caller->Organization","Caller->Organization name","Caller->Email","Caller->Employee number","Organization","Organization->Full name","Organization->Obsolete","Organization->Code","Parent change","Parent change->Ref","Parent change->Full name","Parent change->Ticket sub-class","Parent incident","Parent incident->Ref","Parent incident->Full name","Service","Service->Name","Service->Full name","Service->Provider","Service->Provider Name","Service subcategory","Service subcategory->Name","Service subcategory->Full name","Service subcategory->Service","Service subcategory->Service name","Team","Team->Full name","Team->Email","Team->Obsolete","Team->Name","Team->Organization","Team->Organization name","parent problem id","parent problem id->Ref","parent problem id->Full name","TTO Deadline","SLA tto passed","SLA tto over","TTR Deadline","SLA ttr passed","SLA ttr over"
"I-000128","Tickets#@","Nectar","Akhil Bhatiya","2019-03-08 07:41:47","Pending","Marguerite Duras","2019-03-08 07:42:01",,0,"PC login problems",,"No","","A department","2019-03-08 07:43:00","2019-03-08 08:11:53","Ongoing","phone","pending from support team","critical","========== 2019-03-08 07:41:47 : My first name My last name (1) ============ PC login problems","========== 2019-03-08 07:41:47 : My first name My last name (1) ============ PC login problems ========== 2019-03-08 08:11:53 : Akhil Bhatiya (5) ============ test","assistance",,,"","Incident","high","","Very satisfied",128,10,"Duras",No,"Marguerite",2,"IT Department","duras@it.com","",45,"Bhatiya",No,"Akhil",3,"Nectar","","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",1,"Computers and peripherals","Computers and peripherals",2,"IT Department",12,"Repair","Repair",1,"Computers and peripherals",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000127","Ticket raise#100","Nectar","Acharya Shrvastav","2019-03-07 13:56:12","Assigned","Jean-Paul Sartre","2019-03-07 13:56:20",,0,"testing",,"No","","A department",,"2019-03-07 13:56:20","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",127,8,"Sartre",No,"Jean-Paul",2,"IT Department","sartre@it.com","",58,"Shrvastav",No,"Acharya",3,"Nectar","","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000126","Tickets#7/3/2019","Nectar","Akhil Bhatiya","2019-03-07 11:49:48","Assigned","Jules Verne","2019-03-07 11:49:57",,1264,"server AMC",,"No","","A department","2019-03-07 11:50:19","2019-03-07 12:11:34","Ongoing","phone","pending","high","","","assistance",,,"","Incident","medium","","Very satisfied",126,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",45,"Bhatiya",No,"Akhil",3,"Nectar","","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",1,"Computers and peripherals","Computers and peripherals",2,"IT Department",12,"Repair","Repair",1,"Computers and peripherals",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000123","Ticket raise#7mar2019","Nectar","Arman Agarwal","2019-03-07 09:39:33","Assigned","Jean-Paul Sartre","2019-03-07 09:39:38",,0,"AMC service for AC",,"No","","A department",,"2019-03-07 10:11:39","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",123,8,"Sartre",No,"Jean-Paul",2,"IT Department","sartre@it.com","",62,"Agarwal",No,"Arman",3,"Nectar","puneteam@gmail.com","",3,"Nectar",No,"NEC-00",0,"","","",109,"I-000109","I-000109",1,"Computers and peripherals","Computers and peripherals",2,"IT Department",16,"Troubleshooting","Troubleshooting",1,"Computers and peripherals",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000115","Ticket raise#12","Nectar","Salvador Dali","2019-02-28 10:53:01","Assigned","Jules Verne","2019-03-01 06:47:26",,0,"Description-Ticket raise#12",,"No","","A department",,"2019-03-01 06:47:26","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",115,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",12,"Dali",No,"Salvador",3,"Nectar","dali@demo.com","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000114","Ticket raise#11","Nectar","Acharya Shrvastav","2019-02-28 08:31:37","Assigned","Jules Verne","2019-02-28 08:31:44",,0,"Description-Ticket raise#11",,"No","","A department",,"2019-02-28 08:31:44","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",114,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",58,"Shrvastav",No,"Acharya",3,"Nectar","","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000113","Ticket #7","IT Department","Acharya Arora","2019-02-28 07:05:42","Pending","Jules Verne","2019-02-28 07:06:15",,133,"Description -Ticket #7",,"No","","A department","2019-02-28 10:26:16","2019-02-28 10:26:16","Ongoing","phone","need to resolve","low","","","assistance",,,"","Incident","low","","Very satisfied",113,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",81,"Arora",No,"Acharya",2,"IT Department","","",2,"IT Department",No,"IT",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000110","Ticket #4","PMM","Niraa raut","2019-02-28 06:34:14","Assigned","Marguerite Duras","2019-02-28 08:31:04",,0,"Description -for rupali",,"No","","A department",,"2019-02-28 08:31:04","Ongoing","phone","","low","","","assistance",,,"","Incident","low","","Very satisfied",110,10,"Duras",No,"Marguerite",2,"IT Department","duras@it.com","",74,"raut",No,"Niraa",14,"PMM","priyadigital245@gmail.com","7548965641",14,"PMM",No,"008",0,"","","",0,"","",0,"","",,"",0,"","",,"",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000109","Ticket 1","Business Development Executive","Business Business","2019-02-27 11:11:14","Assigned","Jean-Paul Sartre","2019-02-27 11:11:41",,0,"Ticket Description",,"No","","A department",,"2019-02-27 11:11:41","Ongoing","email","","low","","","assistance",,,"","Incident","low","","Very satisfied",109,8,"Sartre",No,"Jean-Paul",2,"IT Department","sartre@it.com","",64,"Business",No,"Business",7,"Business Development Executive","","12345",7,"Business Development Executive",Yes,"004",0,"","","",0,"","",0,"","",,"",0,"","",,"",23,"System & application support","",No,"System & application support",2,"IT Department",0,"","","","no","0s","","no","0s"
"I-000107","tickets#12","Nectar","Agatha Christiee","2019-02-06 10:59:30","Resolved","Jules Verne","2019-02-06 10:59:47",,0,"ticket for server down issue",,"No","","A department",,"2019-02-27 11:08:29","Resolved","phone","","low","========== 2019-02-06 10:59:30 : My first name My last name (1) ============ azza","========== 2019-02-06 10:59:30 : My first name My last name (1) ============ ssss","assistance","2019-02-27 11:08:29",1814939,"reslove","Incident","low","","Very satisfied",107,9,"Verne",No,"Jules",2,"IT Department","vidyadhar@nectarinfotel.com","",14,"Christiee",No,"Agatha",3,"Nectar","christie@demo.com","",3,"Nectar",No,"NEC-00",0,"","","",0,"","",1,"Computers and peripherals","Computers and peripherals",2,"IT Department",12,"Repair","Repair",1,"Computers and peripherals",21,"Helpdesk","",No,"Helpdesk",2,"IT Department",0,"","","","no","0s","","no","0s"
